objectid,filename,title,chef,subject,preptime,cooktime,date,filedate,rights,format,description
0001,rcp0001.pdf,Chicken Gnocchi Soup,"Appler, Skyler",Soups; Cooking,00:10:00,00:30:00,2025-04-26,2025-04-26,Skyler Appler,file/pdf,Skyler's own take on an Olive Garden classic
0002,rcp0002.jpg,One Pan Chicken Fajitas,"Appler, Skyler",Cooking; Fajitas,00:10:00,00:25:00,2019,2025-04-26,Skyler Appler,image/jpeg,A quick and easy meal prep option
0003,rcp0003.pdf,Cheesy Potatoes,"Lawson, Tiffany",Cooking; Potatoes,00:05:00,01:00:00,2022-10-29,2025-04-26,Tiffany Lawson,file/pdf,A comforting potato side dish
0004,rcp0004.pdf,Meatloaf,"Lawson, Tiffany",Cooking; Beef,00:10:00,01:20:00,2022-10-29,2025-04-26,Tiffany Lawson,file/pdf,"Mom's meatloaf, a household comfort meal"
0005,rcp0005.jpg,Breakfast Casserole,"Lawson, Vicky",Breakfast; Casserole,08:00:00,00:45:00,2022-10-29,2025-04-26,Vicky Lawson,image/jpeg,"A filling breakfast, perfect for weekend brunch"
0006,rcp0006.pdf,Peach Crisp,"Hawkins, Colleen",Desserts; Peaches,00:05:00,00:50:00,2022-10-29,2025-04-26,Colleen Hawkins,file/pdf,"A simple yet satisfying dessert, perfect for summer"
0007,rcp0007.pdf,Hot Fudge Sauce,"Zaputil, Dorothy",Desserts; Sauce,00:00:00,00:15:00,2022-10-29,2025-04-26,Dorothy Zaputil,file/pdf,The perfect addition to vanilla ice cream
0008,rcp0008.pdf,Chewy Chocolate Chip Cookies,"Zaputil, Dorothy",Desserts; Cookies,00:10:00,00:10:00,2022-10-29,2025-04-26,Dorothy Zaputil,file/pdf,A classic sweet treat
0009,rcp0009.pdf,Fruit Pizza,"Appler, Jennifer",Desserts; Pizza,00:15:00,00:20:00,2022-10-29,2025-04-26,Jennifer Appler,file/pdf,The perfect dessert for a summer BBQ
0010,rcp0010.pdf,Veggie Pizza,"Appler, Jennifer",Appetizers; Pizza,01:00:00,00:15:00,2022-10-29,2025-04-26,Jennifer Appler,file/pdf,"A cool, light, and refreshing appetizer "
0011,rcp0011.pdf,Apple Pie,"Kincart, Katie",Desserts; Pie,01:00:00,00:50:00,2022-10-29,2025-04-26,Katie Kincart,file/pdf,The perfect pie for any occasion
0012,rcp0012.jpg,Brownies,"Miller, Linda",Desserts; Brownies,00:10:00,00:20:00,2022-10-29,2025-04-26,Linda Miller,image/jpeg,"Rich, homemade brownies "
0013,rcp0013.pdf,Blueberry Zucchini Muffins,"Howington, Kylie",Baking; Muffins,00:15:00,00:20:00,2022-10-29,2025-04-26,Kylie Howington,file/pdf,A flour-free muffin 
0014,rcp0014.pdf,Apple Fritter Bread,"Howington, Kylie",Baking; Bread,00:30:00,01:00:00,2022-10-29,2025-04-26,Kylie Howington,file/pdf,"A sweet bread, goes great with coffee"
0015,rcp0015.pdf,Refrigerator Pickles ,"Howington, Kylie",Pickling; Pickles,00:15:00,00:00:00,2022-10-29,2025-04-26,Kylie Howington,file/pdf,"No canning required, perfect for pickle lovers"
